ID	iBAQ.B_bacteriovorus_WCE1_TR01	iBAQ.B_bacteriovorus_WCE1_TR02	iBAQ.B_bacteriovorus_WCE2_TR01	iBAQ.B_bacteriovorus_WCE2_TR02	PFAM_DNA_binding.x	Nuc_vs_Top_ratio	Final_Localization
CAE78501.1	2211100	1698300	2262000	2159200	NA	NA	Extracellular
CAE78503.1	35852000	41286000	29428000	41998000	0	0.988	NA
CAE78504.1	20307000	19576000	21687000	21469000	0	-1.65	Cytoplasmic
CAE78506.1	685590	1085700	1186200	1192900	0	2.66	Unknown
CAE78507.1	3382500	3896300	3251100	4981100	0	4.85	Extracellular
CAE78509.1	12296000	17226000	13504000	18300000	0	3.89	Unknown
CAE78510.1	17714000	18119000	24222000	26925000	0	5.11	Periplasmic
CAE78512.1	3613900	3434500	3967600	3870700	NA	NA	Unknown
CAE78514.1	2084900	2087100	2248600	2549600	0	3.04	Extracellular
CAE78515.1	4448200	4258600	4520000	4993100	0	2.84	NA
CAE78518.1	1566400	1440800	1357700	1126600	1	5.4	Cytoplasmic
CAE78519.1	NA	NA	NA	NA	0	5.2	NA
CAE78520.1	3134000	3018600	3476100	4000100	0	2.84	Cytoplasmic
CAE78521.1	958180	788800	1290100	1276100	0	1.81	Cytoplasmic
CAE78522.1	14902000	15199000	15358000	15699000	0	-0.924	Unknown
CAE78523.1	1103800	423890	1313700	673180	0	1.46	NA
CAE78527.1	5632800	4378700	6845000	4828400	0	-1.33	Unknown
CAE78528.1	22326000	19472000	23376000	24822000	0	0.648	Cytoplasmic
CAE78529.1	7764700	8404800	8396500	5233800	0	4.99	Cytoplasmic Membrane
CAE78530.1	4688800	4153900	4369200	5907900	0	-1.25	Cytoplasmic
CAE78531.1	2329700	2834900	2553800	2573300	0	6.91	Cytoplasmic Membrane
CAE78532.1	12004000	12880000	13890000	13832000	0	-2.11	Cytoplasmic
CAE78533.1	770730000	742650000	805540000	785700000	0	-1.77	Cytoplasmic
CAE78538.1	24585000	23980000	23903000	29270000	1	-1.11	Cytoplasmic
CAE78539.1	130730000	132100000	119260000	125040000	0	-1.97	Cytoplasmic
CAE78540.1	45963000	40754000	38472000	51754000	0	-1.65	Cytoplasmic
CAE78541.1	1523700	1815800	2246500	1491200	0	NA	Unknown
CAE78542.1	946520	969980	868650	962940	NA	NA	Cytoplasmic
CAE78543.1	27806000	29501000	38901000	42021000	0	5.41	Unknown
CAE78546.1	22229000	20822000	24908000	22984000	0	1.56	Cytoplasmic
CAE78547.1	24772000	22549000	26154000	25960000	0	1.45	Cytoplasmic
CAE78548.1	9349900	9854900	10709000	11324000	1	-2.13	Cytoplasmic
CAE78549.1	7915000	7944100	6952900	6280900	0	-2.16	Cytoplasmic
CAE78552.1	763700	907700	1017600	887230	1	-0.361	Cytoplasmic Membrane
CAE78553.1	88021000	73229000	99386000	98510000	0	-1.77	NA
CAE78554.1	29454000	30149000	27947000	33980000	0	-1.61	Cytoplasmic
CAE78556.1	6559700	6162300	7721100	7789800	0	-3.38	Cytoplasmic
CAE78557.1	16364000	11070000	14775000	17238000	0	-2.49	Unknown
CAE78558.1	8115500	6509100	7671800	6052200	1	2.41	Cytoplasmic
CAE78559.1	9024400	8935300	9798200	10468000	0	3.15	Cytoplasmic Membrane
CAE78560.1	29260000	26823000	32272000	23944000	0	3.15	Periplasmic
